feature,importance_mean,importance_std
prior_prescription_count,0.1539684214305847,0.0070055449826446434
time_since_previous_hours,0.028880279605369076,0.0025120691576299924
time_between_previous_values_hours,0.007616103304281618,0.00190233198111448
prior_lab_count,0.0009701517631918622,0.000873506795703266
rate_of_change_per_hour,0.00023243742647528488,0.00010432649722541929
recent_lab_std_7d,0.00015517089298002772,0.00011375283630016287
test_name,1.6218078927698886e-05,1.9582147262454912e-05
recent_prescription_count_7d,0.0,0.0
previous_lab_value,-2.090065475027769e-05,5.641522536730659e-05
change_from_previous,-7.614740476290516e-05,3.181678592541247e-05
gender,-8.549631288334858e-05,0.00031325873115475205
recent_test_count_7d,-0.00017504583329789326,0.00027156069356682735
admission_type,-0.0005596324413307485,0.0003290546930905854
anchor_age,-0.001295274152815129,0.0004971602036786128
